ra decl field nid jd exp_mjd magpsf sigmapsf fid ssnamenr fieldRA_deg fieldDec_deg visit_id mjd HEclObsy_X_au HEclObsy_Y_au HEclObsy_Z_au obs_id designation splitname r_au r_au_y theta_x_deg theta_y_deg theta_x_eq_deg theta_y_eq_deg
288.7789723 -10.1275153 385 612 2458366.6285880003 58366.12858800031 19.0281 0.17944300000000002 2 72614 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96474 72614 72614 3.005189664 3.005189664 -1.3485195611467513 -0.4211026587609058 -1.7149934193049035 -0.9974736803244006
288.6973138 -7.7951083 385 612 2458366.6285880003 58366.12858800031 19.6607 0.206323 2 251274 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96460 P1274 251274 2.4992107766 2.4992107766 -1.083861982302078 1.1727508483297027 -1.7966519193049066 1.3349333196756001
291.1930705000001 -6.1719565 385 612 2458366.6285880003 58366.12858800031 18.5207 0.13032 2 6446 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96459 06446 6446 2.2336052086 2.2336052086 0.9186972240044318 1.866462993664611 0.6991047806951656 2.9580851196755997
287.0708843000001 -10.2631696 385 612 2458366.6285880003 58366.12858800031 19.0319 0.142798 2 178915 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96458 H8915 178915 2.0901239392 2.0901239392 -2.590771078431392 -0.2706919401463224 -3.423081419304822 -1.1331279803243994
288.418863 -6.9409255000000005 385 612 2458366.6285880003 58366.12858800031 18.4752 0.0956776 2 51176 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96457 51176 51176 2.5265571057 2.5265571057 -1.160905540183601 1.796176716453717 -2.0751027193049367 2.1891161196755995
288.1136454 -11.4395788 385 612 2458366.6285880003 58366.12858800031 18.8909 0.13635 2 78091 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96456 78091 78091 2.3157540290000003 2.3157540290000003 -1.9963467786723386 -1.2210996417242044 -2.3803203193049285 -2.3095371803243996
288.3517108 -10.6883433 385 612 2458366.6285880003 58366.12858800031 17.7535 0.054273800000000004 2 51636 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96455 51636 51636 1.7438390494999998 1.7438390494999998 -1.7278117828289346 -0.7417228569218854 -2.1422549193049463 -1.5583016803243996
289.6694312 -9.6653755 385 612 2458366.6285880003 58366.12858800031 18.8252 0.135569 2 21887 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96454 21887 21887 3.1837182714 3.1837182714 -0.6546525700936505 -0.23764709991377114 -0.8245345193049047 -0.5353338803243997
283.9588142 -10.1302318 385 612 2458366.6285880003 58366.12858800031 18.3818 0.0797937 2 33628 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96439 33628 33628 2.484234556 2.484234556 -4.858024234067188 0.2581090769021112 -6.535151519304918 -1.0001901803244007
287.4100349 -8.2967893 385 612 2458366.6285880003 58366.12858800031 19.1378 0.130425 2 53203 287.65978 -9.85 1108 58366.12858800031 0.9604279131012556 -0.3071599410441055 4.6145618435244895e-05 96438 53203 53203 2.4480514009 2.4480514009 -2.07916368454361 1.0282756120960994 -3.0839308193048964 0.8332523196755997
